transaction_id,customer_id,transaction_amount,transaction_date,payment_method,product_category,quantity,customer_age,customer_location,device_used,ip_address,shipping_address,billing_address,is_fraudulent,account_age_days,transaction_hour,tx_date
TX-20260108092137-000000-0000,CUST-000000,3106.27,2025-07-21 21:33:24,debit_card,Digital,1,38,"London, GB",mobile,163.214.94.163,"Johannesburg, ZA","London, GB",1,178,21,2025-07-21 21:33:24
TX-20260108092137-000000-0001,CUST-000000,1892.02,2025-07-26 12:09:00,debit_card,Home,1,38,"London, GB",mobile,163.214.94.57,"Sao Paulo, BR","London, GB",1,183,12,2025-07-26 12:09:00
TX-20260108092137-000000-0002,CUST-000000,1253.29,2025-07-28 07:14:06,credit_card,Fashion,1,40,"London, GB",desktop,163.214.94.17,"London, GB","London, GB",0,185,7,2025-07-28 07:14:06
TX-20260108092137-000000-0003,CUST-000000,1787.65,2025-07-28 11:51:26,wallet,Fashion,3,41,"London, GB",mobile,163.214.94.235,"London, GB","London, GB",0,185,11,2025-07-28 11:51:26
TX-20260108092137-000000-0004,CUST-000000,9746.88,2025-08-01 14:42:01,debit_card,Fashion,1,39,"London, GB",tablet,163.214.94.150,"London, GB","London, GB",0,189,14,2025-08-01 14:42:01
TX-20260108092137-000000-0005,CUST-000000,373.49,2025-08-06 05:43:54,wallet,Fashion,2,39,"London, GB",mobile,163.214.94.24,"London, GB","London, GB",0,194,5,2025-08-06 05:43:54
TX-20260108092137-000000-0006,CUST-000000,2083.08,2025-08-19 08:07:46,debit_card,Digital,1,38,"London, GB",mobile,163.214.94.153,"London, GB","London, GB",1,207,8,2025-08-19 08:07:46
TX-20260108092137-000000-0007,CUST-000000,2588.29,2025-08-26 06:04:57,bank_transfer,Luxury,2,38,"London, GB",mobile,163.214.94.242,"London, GB","London, GB",1,214,6,2025-08-26 06:04:57
TX-20260108092137-000000-0008,CUST-000000,2089.52,2025-08-27 04:53:01,cod,Grocery,1,40,"London, GB",desktop,163.214.94.112,"London, GB","London, GB",0,215,4,2025-08-27 04:53:01
TX-20260108092137-000000-0009,CUST-000000,4674.37,2025-09-04 23:27:02,wallet,Luxury,4,40,"London, GB",tablet,163.214.94.216,"Hyderabad, IN","London, GB",1,223,23,2025-09-04 23:27:02
TX-20260108092137-000000-0010,CUST-000000,3132.96,2025-09-07 04:38:43,debit_card,Grocery,2,39,"London, GB",tablet,163.214.94.154,"New York, US","London, GB",1,226,4,2025-09-07 04:38:43
TX-20260108092137-000000-0011,CUST-000000,7891.01,2025-09-07 22:18:34,wallet,Grocery,3,40,"London, GB",mobile,163.214.94.146,"London, GB","London, GB",0,226,22,2025-09-07 22:18:34
TX-20260108092137-000000-0012,CUST-000000,6064.4,2025-09-21 05:20:27,bank_transfer,Electronics,5,38,"London, GB",tablet,163.214.94.33,"London, GB","London, GB",1,240,5,2025-09-21 05:20:27
TX-20260108092137-000000-0013,CUST-000000,2660.8,2025-09-24 12:05:52,debit_card,Grocery,3,38,"London, GB",mobile,163.214.94.247,"London, GB","London, GB",0,243,12,2025-09-24 12:05:52
TX-20260108092137-000000-0014,CUST-000000,2058.02,2025-09-24 19:30:58,debit_card,Digital,1,39,"London, GB",mobile,163.214.94.231,"Toronto, CA","London, GB",0,243,19,2025-09-24 19:30:58
TX-20260108092137-000000-0015,CUST-000000,10201.77,2025-10-09 01:02:41,debit_card,Electronics,1,39,"London, GB",mobile,163.214.94.59,"London, GB","London, GB",1,258,1,2025-10-09 01:02:41
TX-20260108092137-000000-0016,CUST-000000,9733.62,2025-10-10 05:04:29,credit_card,Fashion,4,37,"London, GB",mobile,163.214.94.85,"London, GB","London, GB",1,259,5,2025-10-10 05:04:29
TX-20260108092137-000000-0017,CUST-000000,1768.84,2025-10-25 03:00:13,bank_transfer,Fashion,1,39,"London, GB",mobile,163.214.94.226,"London, GB","London, GB",0,274,3,2025-10-25 03:00:13
TX-20260108092137-000000-0018,CUST-000000,1620.19,2025-10-28 04:41:43,bank_transfer,Home,1,39,"London, GB",mobile,163.214.94.111,"London, GB","London, GB",0,277,4,2025-10-28 04:41:43
TX-20260108092137-000000-0019,CUST-000000,2466.56,2025-11-02 02:39:20,credit_card,Digital,2,40,"London, GB",mobile,163.214.94.16,"London, GB","London, GB",0,282,2,2025-11-02 02:39:20
TX-20260108092137-000000-0020,CUST-000000,1003.28,2025-11-10 02:30:38,credit_card,Fashion,2,39,"London, GB",mobile,163.214.94.36,"London, GB","London, GB",0,290,2,2025-11-10 02:30:38
TX-20260108092137-000000-0021,CUST-000000,1341.34,2025-11-12 01:40:24,debit_card,Electronics,1,37,"London, GB",mobile,163.214.94.167,"New York, US","London, GB",0,292,1,2025-11-12 01:40:24
TX-20260108092137-000000-0022,CUST-000000,840.46,2025-11-18 09:42:36,credit_card,Fashion,3,39,"London, GB",mobile,163.214.94.55,"London, GB","London, GB",0,298,9,2025-11-18 09:42:36
TX-20260108092137-000000-0023,CUST-000000,1503.94,2025-11-26 19:32:32,debit_card,Home,4,40,"London, GB",mobile,163.214.94.238,"London, GB","London, GB",0,306,19,2025-11-26 19:32:32
TX-20260108092137-000000-0024,CUST-000000,1501.76,2025-12-01 16:47:46,bank_transfer,Digital,4,39,"London, GB",tablet,163.214.94.125,"London, GB","London, GB",0,311,16,2025-12-01 16:47:46
TX-20260108092137-000000-0025,CUST-000000,2058.79,2025-12-10 02:45:33,credit_card,Luxury,3,39,"London, GB",mobile,163.214.94.15,"London, GB","London, GB",1,320,2,2025-12-10 02:45:33
TX-20260108092137-000000-0026,CUST-000000,3464.9,2025-12-21 01:18:20,cod,Fashion,2,39,"London, GB",mobile,163.214.94.218,"London, GB","London, GB",0,331,1,2025-12-21 01:18:20
TX-20260108092137-000000-0027,CUST-000000,779.4,2025-12-26 02:04:09,debit_card,Home,5,38,"London, GB",mobile,163.214.94.159,"Lagos, NG","London, GB",1,336,2,2025-12-26 02:04:09
TX-20260108092137-000000-0028,CUST-000000,2580.16,2025-12-27 07:50:41,cod,Luxury,4,39,"London, GB",mobile,163.214.94.172,"London, GB","London, GB",0,337,7,2025-12-27 07:50:41
TX-20260108092137-000000-0029,CUST-000000,1024.33,2025-12-28 06:06:22,bank_transfer,Fashion,1,38,"London, GB",mobile,163.214.94.81,"London, GB","London, GB",0,338,6,2025-12-28 06:06:22
TX-20260108092137-000000-0030,CUST-000000,1592.31,2025-12-31 22:30:14,credit_card,Home,1,40,"London, GB",mobile,163.214.94.26,"London, GB","London, GB",1,341,22,2025-12-31 22:30:14
TX-20260108092137-000000-0031,CUST-000000,2456.17,2026-01-08 02:12:27,wallet,Fashion,4,39,"London, GB",mobile,163.214.94.113,"Berlin, DE","London, GB",0,349,2,2026-01-08 02:12:27
TX-20260108092137-000001-0000,CUST-000001,23257.31,2025-07-13 16:31:25,bank_transfer,Grocery,3,39,"Paris, FR",desktop,247.252.68.252,"Paris, FR","Paris, FR",0,82,16,2025-07-13 16:31:25
TX-20260108092137-000001-0001,CUST-000001,1835.99,2025-07-14 12:27:28,cod,Fashion,4,41,"Paris, FR",tablet,247.252.68.1,"Paris, FR","Paris, FR",0,83,12,2025-07-14 12:27:28
TX-20260108092137-000001-0002,CUST-000001,4936.76,2025-07-14 21:03:49,debit_card,Grocery,4,41,"Paris, FR",tablet,247.252.68.81,"Johannesburg, ZA","Paris, FR",0,83,21,2025-07-14 21:03:49
